id,NAME_1,adm1_code,Â (a circonflexe),À (a grave),Ç (cedille),É (e aigu),Ê (e circonflexe),È (e grave),Ë (e trema),Î (i circonflexe),Ï (i trema),the letter K,Ô (o circonflexe),Œ (oe ligature),Û (u circonflexe),Ü (u trema),the letter W,Ÿ (y trema),Hyphen,Avg_Length
1,Alsace,FRA-2686,3,0,0,36,1,25,0,0,0,60,0,27,0,4,195,0,264,10.52800546
2,Aquitaine,FRA-2665,5,10,11,412,5,218,2,1,8,0,16,3,2,2,0,0,2383,10.48733536
3,Auvergne,FRA-2670,37,0,17,269,12,286,5,2,0,0,9,1,5,2,0,0,1326,9.845039508
4,Basse-Normandie,FRA-2661,20,0,2,356,38,164,6,9,0,1,23,2,3,0,0,0,2284,12.15816165
5,Bourgogne,FRA-2671,72,2,22,369,27,260,1,9,0,0,29,0,4,0,1,0,2224,10.50825446
6,Bretagne,FRA-2662,29,0,1,935,12,116,78,5,4,5,6,5,1,1,3,0,1276,9.969437653
7,Centre,FRA-2672,93,1,47,586,46,330,6,7,0,1,23,1,5,0,0,0,1993,10.69889094
8,Champagne-Ardenne,FRA-2682,59,10,8,291,17,217,7,3,0,0,11,0,2,0,4,0,1947,10.99085815
9,Corse,FRA-2666,0,0,0,21,1,14,0,0,3,1,0,0,0,0,0,0,170,9.236590742
10,Franche-Comté,FRA-2685,51,0,5,165,9,205,1,6,0,0,19,1,0,0,2,0,1153,10.56101624
11,Haute-Normandie,FRA-2673,13,1,6,278,19,123,5,1,0,0,13,0,1,0,0,0,1956,12.13563073
12,Île-de-France,FRA-2680,40,0,2,210,22,122,1,1,1,1,9,0,3,0,0,1,1350,10.99810247
13,Languedoc-Roussillon,FRA-2668,7,1,7,279,4,341,0,2,3,1,4,0,0,0,0,0,1538,11.29198473
14,Limousin,FRA-2681,27,2,1,172,13,155,0,0,0,0,6,1,0,1,0,0,1029,10.38458702
15,Lorraine,FRA-2687,32,5,7,471,11,207,26,6,0,66,33,7,3,6,29,0,1712,10.73280212
16,Midi-Pyrénées,FRA-2669,9,1,6,486,3,387,2,1,11,1,9,0,1,0,0,0,1938,9.98322079
17,Nord-Pas-de-Calais,FRA-2683,13,5,0,213,5,145,8,5,0,53,3,0,4,0,13,0,1123,10.53613054
18,Pays de la Loire,FRA-2664,41,1,9,808,24,320,21,4,0,1,8,7,6,0,1,0,2274,11.92937123
19,Picardie,FRA-2684,23,3,1,355,8,179,9,1,0,0,6,0,1,0,4,0,1747,10.7277827
20,Poitou-Charentes,FRA-2663,46,1,19,395,14,137,5,2,0,1,9,3,3,0,0,0,1390,10.86903441
21,Provence-Alpes-Côte d'Azur,FRA-2667,79,3,8,240,15,219,9,1,7,1,13,0,0,1,0,0,1223,10.98704104
22,Rhône-Alpes,FRA-1265,112,1,16,570,27,391,22,3,0,0,74,2,6,4,0,0,3252,10.79038602
